CD_REGIAO;NM_REGIAO;CD_UF;NM_UF;CD_MUN;NM_MUN;CD_DIST;NM_DIST;CD_SUBDIST;NM_SUBDIST;CD_BAIRRO;NM_BAIRRO;CD_RGINT;NM_RGINT;CD_RGI;NM_RGI;CD_CONCURB;NM_CONCURB;AREA_KM2;Total de pessoas;Total de Domicílios;Total de Domicílios Particulares;Total de Domicílios Coletivos;Média de moradores em Domicílios Particulares Ocupados;Percentual de Domicílios Particulares Ocupados Imputados;Total de Domicílios Particulares Ocupados;Pessoas responsáveis em domicílios particulares permanentes ocupados;Moradores em domicílios particulares permanentes ocupados;Variância do número de moradores em domicílios particulares permanentes ocupados;Valor do rendimento nominal médio mensal das pessoas responsáveis com rendimentos por domicílios particulares permanentes ocupados;Variância do rendimento nominal mensal das pessoas responsáveis com rendimentos por domicílios particulares permanentes ocupados;lat;lng
1;Norte;15;Pará;1501402;Belém;150140205;Belém;15014020500;;1501402001;Batista Campos;1501;Belém;150001;Belém;1501402;Belém/PA;1.4237755;18335;7741;7734;7;2.8;0.1573;6553;6551;18321;1.97;9423.35;92407694.09;-1.4609762555764336;-48.48982637099489
1;Norte;15;Pará;1501402;Belém;150140255;Guamá;15014025500;;1501402002;Canudos;1501;Belém;150001;Belém;1501402;Belém/PA;0.7974898;11923;4752;4748;4;3;0.0411;3943;3942;11918;2.68;2763.49;10681250.35;-1.4518011677990006;-48.46049945004534
1;Norte;15;Pará;1501402;Belém;150140205;Belém;15014020500;;1501402003;Cidade Velha;1501;Belém;150001;Belém;1501402;Belém/PA;1.472806;10455;4122;4092;30;3.1;0.0615;3315;3308;10389;2.95;4379.81;25394617.89;-1.4617816876606322;-48.50323022696423
1;Norte;15;Pará;1501402;Belém;150140255;Guamá;15014025500;;1501402004;Condor;1501;Belém;150001;Belém;1501402;Belém/PA;1.8207109;34605;12711;12707;4;3.2;0.0402;10708;10705;34589;3.55;1724.97;3763169.19;-1.4725315816939246;-48.47880665978443
1;Norte;15;Pará;1501402;Belém;150140205;Belém;15014020500;;1501402005;Cremação;1501;Belém;150001;Belém;1501402;Belém/PA;1.4723067;28604;10900;10897;3;3;0.0406;9425;9418;28578;2.86;4343.32;42142296.67;-1.461320970250654;-48.4780959655269
1;Norte;15;Pará;1501402;Belém;150140205;Belém;15014020500;;1501402006;Guamá;1501;Belém;150001;Belém;1501402;Belém/PA;4.3056352;81227;29853;29846;7;3.2;0.0345;25379;25375;81138;3.04;2342.83;1709437854.03;-1.466100806129363;-48.46352715486778
1;Norte;15;Pará;1501402;Belém;150140255;Guamá;15014025500;;1501402007;Jurunas;1501;Belém;150001;Belém;1501402;Belém/PA;2.5547633;53985;19944;19940;4;3.2;0.0498;16785;16783;53983;3.34;2615.61;17241926.6;-1.4706746600302798;-48.49358445377513
1;Norte;15;Pará;1501402;Belém;150140250;Entroncamento;15014025000;;1501402008;Marambaia;1501;Belém;150001;Belém;1501402;Belém/PA;5.0462974;58870;22648;22648;0;3.1;0.0448;18945;18935;58846;2.55;3487.72;38277218.88;-1.4017676540934336;-48.451265150676306
1;Norte;15;Pará;1501402;Belém;150140205;Belém;15014020500;;1501402009;Marco;1501;Belém;150001;Belém;1501402;Belém/PA;4.898042;59847;24432;24420;12;2.9;0.0509;20487;20485;59806;2.37;5752.58;47337764.16;-1.436800908591254;-48.459391957723575
1;Norte;15;Pará;1501402;Belém;150140275;Sacramenta;15014027500;;1501402010;Fátima;1501;Belém;150001;Belém;1501402;Belém/PA;0.6187815;11233;4176;4172;4;3.1;0.1161;3593;3592;11231;3.12;3569.21;1170532383.83;-1.4425073807186646;-48.472766293486615
